Golfer,Nation,Region,driveDist,fairPct,greenReg,avePutts,sandPct,totPrize,events
Cydney Clanton,United States,North America,267.36,62.9,68.3,31.06,44.26,53553,19
Dana Fall,United States,North America,235.24,87.25,67.1,29.94,45.1,101086,19
Daniela Darquea,Ecuador,South America,263,75.45,73.3,30.34,54.29,243096,11
Danielle Kang,United States,North America,251.17,77.11,71.9,28.92,50.75,1039239,18
Dewi Weber,Netherlands,Europe,261.82,72.62,70.1,30.94,41.67,137749,20
Elizabeth Szokol,United States,North America,255.97,68.54,70.6,30.5,47.22,131874,13
Emily Kristine Pedersen,Denmark,Europe,274.67,68.81,73.5,31.05,47.62,274345,22
Emma Talley,United States,North America,246.57,76.51,68.4,29.81,51.61,219367,27
Esther Henseleit,Germany,Europe,254.08,71.32,68.7,30.28,46.97,224053,25
Eun-Hee Ji,Republic of Korea,Asia,258.13,75.47,68.2,29.36,56,835642,19
Fatima Fernandez Cano,Spain,Europe,261.41,56.21,63.5,30.78,42,3185,17
Frida Kinhult,Sweden,Europe,263.86,70.4,67.6,29.57,42.39,310284,22
Gaby Lopez,Mexico,North America,264.42,70.29,70.4,29.69,50,800239,24
Gemma Dryburgh,Scotland,Europe,249.84,79.01,67.1,29.43,52.22,662000,25
Georgia Hall,England,Europe,265.68,69.87,68.7,28.86,52.27,1045967,19
Gerina Mendoza,United States,North America,261.51,75.93,66.7,30.32,38.89,152172,16
Gina Kim,United States,North America,257.61,74.06,70.1,30.84,42.42,50462,13
Giulia Molinaro,Italy,Europe,258.51,70.54,68.2,30.66,44.59,59432,21
Haeji Kang,Republic of Korea,Asia,245.08,72.92,67.6,29.69,41.25,213640,22
Hannah Green,Australia,Oceania,263.51,75.5,74.3,29.77,47.37,1175048,21
Haylee Harford,United States,North America,261.15,75.43,70,30.74,45.65,70888,17
Hinako Shibuno,Japan,Asia,257.65,77.26,69.4,30,40,1011830,23
Hye-Jin Choi,Republic of Korea,Asia,263.73,80.08,76.5,30.02,41.41,2075696,27
Hyo Joo Kim,Republic of Korea,Asia,255.32,76.04,72.4,28.69,53.33,1533497,17
In Gee Chun,Republic of Korea,Asia,249.08,78.11,73.6,29.8,57.58,2673860,19
In Kyung Kim,Republic of Korea,Asia,242.24,76.16,62.8,30.1,50,145412,14
Inbee Park,Republic of Korea,Asia,242.29,85.93,69,29.56,50.91,417530,15
Isi Gabsa,Germany,Europe,257.08,74.97,67.6,30.08,35.21,138662,20
Janie Jackson,United States,North America,268.05,67.11,66,30.58,42.5,51657,23
Jasmine Suwannapura,Thailand,Asia,246.81,78.88,68.4,29.76,46.99,225737,27
Jaye Marie Green,United States,North America,258.42,82.8,68.2,31.11,37.5,50277,12
Jennifer Chang,United States,North America,253.38,76.09,68.9,29.98,46.91,297737,21
Jennifer Kupcho,United States,North America,266.27,79.24,73.4,30.45,47.06,1955531,26
Jennifer Song,United States,North America,253.58,72.99,66.6,30.55,41.94,122132,22
Jenny Coleman,United States,North America,253.66,74.05,68.1,31.23,30.51,69887,24
Jenny Shin,Republic of Korea,Asia,254.64,72.75,70.1,30.12,52.17,373598,22
Jeongeun Lee5,Republic of Korea,Asia,254.46,79.84,72.6,31,38.16,202277,24
Jeongeun Lee6,Republic of Korea,Asia,257.75,73.87,67.9,29.12,52.38,702979,22
Jessica Korda,United States,North America,271.83,69.96,72.1,29.86,41.54,976487,14
Jin Young Ko,Republic of Korea,Asia,249.28,79.71,71.5,29.78,48.28,1260471,16
Jodi Ewart Shadoff,England,Europe,258.98,80.29,76.5,30.75,36.36,857128,25
Kaitlyn Papp Budde,United States,North America,252.36,68.13,64.6,29.42,44,42673,18
Karis Davidson,Australia,Oceania,255.36,78.26,65.5,29.03,60.53,102807,11
Katherine Perry-Hamski,United States,North America,262.54,65.85,63,29.87,36.36,41538,18
Kelly Tan,Malaysia,Asia,252.45,72.9,69.7,30.41,38.82,372479,25
Lauren Coughlin,United States,North America,258.86,77.15,73.1,30.95,33.33,299990,23
Lauren Hartlage,United States,North America,258.98,74,65.1,30.77,41.38,71944,16
Lauren Stephenson,United States,North America,257.95,73.3,70.6,30.15,44.78,257842,24
Leona Maguire,Ireland,Europe,250.31,75.72,70.4,29.3,50,1812831,24
Lexi Thompson,United States,North America,272.84,73.12,77.2,30.35,52.46,1929718,18
Lilia Vu,United States,North America,264.01,73.34,73.5,29.51,48.72,918939,24
Lindsey Weaver-Wright,United States,North America,243.21,79.66,68,29.98,38.75,264725,22
Linnea Johansson,Sweden,Europe,253.51,74.7,64,29.6,42.86,105894,20
Liz Nagel,United States,North America,257.52,64.37,64,31.04,19.23,16013,11
Lizette Salas,United States,North America,240.64,85.35,70.8,29.78,43.55,762032,23
Lydia Ko,New Zealand,Oceania,255.34,66.44,72.9,28.61,66.25,4364403,22
Maddie Szeryk,Canada,North America,248.32,75.64,62.4,30,44.68,47148,14
Madelene Sagstrom,Sweden,Europe,273.4,64.13,70.1,29.25,48.19,1119984,24
Maria Fassi,Mexico,North America,279.25,67.02,68,30.42,50,315842,20
Marina Alex,United States,North America,250.26,80.73,72.3,30.14,52.7,665878,23
Marissa Steen,United States,North America,240.72,83.05,63.3,31.24,40,57202,12
Matilda Castren,Finland,Europe,257.47,71.9,73.1,30.71,48.72,526176,25
Maude-Aimee Leblanc,Canada,North America,272.38,59.73,68.6,30.35,47.06,260509,24
Megan Khang,United States,North America,255.68,83.32,75.5,30.12,59.34,1025005,24
Mel Reid,England,Europe,258.52,66.82,64.3,30.7,54.76,157432,18
Mi Hyang Lee,Republic of Korea,Asia,257.51,66.25,69,30.22,44.19,82358,15
Min Lee,Chinese Taipei,Asia,257.98,74.94,68.4,30.4,43.42,79157,20
Mina Harigae,United States,North America,245.8,81.19,69.1,29.79,56.82,1293471,23
Minjee Lee,Australia,Oceania,267.72,73.25,76.2,30.31,46.34,3809960,20
Mirim Lee,Republic of Korea,Asia,246.27,66.67,63.5,31.65,23.68,51854,10
Morgane Metraux,Switzerland,Europe,252.14,72.21,67.9,30,34.72,221116,22
Moriya Jutanugarn,Thailand,Asia,250.59,76.03,70.7,29.95,51.72,615048,28
Muni He,China,Asia,251.63,79.17,65.1,30.35,37.04,123692,20
Na Yeon Choi,Republic of Korea,Asia,243.99,65.58,66.1,30.62,34.78,51427,17
Nanna Koerstz Madsen,Denmark,Europe,271.98,65.89,70.3,29.78,50.57,632106,23
Narin An,Republic of Korea,Asia,253.7,76.73,69.9,29.67,43.01,646686,26
Nasa Hataoka,Japan,Asia,265.24,73.99,72.6,29.27,49.61,1402138,25
Nelly Korda,United States,North America,272.28,75,75.4,30.02,37.33,1418725,15
Pajaree Anannarukarn,Thailand,Asia,261.64,71.31,72.6,30.36,50,612297,29
Patty Tavatanakit,Thailand,Asia,269.95,62.89,68.6,29.94,47.87,429664,21
Paula Reto,South Africa,Africa,256.84,72.18,68.6,29.5,47.32,808130,27
Pauline Roussin,France,Europe,271.77,63.02,67.8,29.44,41.25,291539,24
Peiyun Chien,Chinese Taipei,Asia,261.55,74.21,73.1,31.33,40.28,243857,22
Pernilla Lindberg,Sweden,Europe,254.09,73.3,67.8,30.27,38.33,82378,19
Perrine Delacour,France,Europe,266.85,69.13,71.3,30.34,46.43,166256,18
Pornanong Phatlum,Thailand,Asia,252.87,75.39,69.8,30.14,51.16,438951,27
Rachel Rohanna,United States,North America,270.77,64.57,64.8,30.26,41.43,53834,19
Robynn Ree,United States,North America,254.51,72.94,67,30.82,44.44,61408,15
Ruixin Liu,China,Asia,263.02,76.79,69.4,30.07,39.22,167061,20
Ruoning Yin,China,Asia,258.28,77.95,69.1,29.26,47.27,170140,16
Ryann O'Toole,United States,North America,263.61,71.27,70.8,29.91,48.94,616600,23
Sanna Nuutinen,Finland,Europe,256.57,66.36,65.6,30.91,29.41,81184,18
Sarah Jane Smith,Australia,Oceania,249.39,71.51,57,29.11,40.82,21127,13
Sarah Kemp,Australia,Oceania,252.22,77.24,69.6,30.52,42.03,211753,22
Sarah Schmelzel,United States,North America,260.63,70.5,72.5,30.08,45.92,584376,24
Savannah Vilaubi,United States,North America,261.87,65.07,60.6,30.5,35.9,32710,13
Sei Young Kim,Republic of Korea,Asia,265.42,69.49,73.5,29.92,58.97,1083246,20
So Yeon Ryu,Republic of Korea,Asia,248.71,69.09,70,29.79,57.61,332195,20
Sophia Popov,Germany,Europe,256.76,69.07,64.7,30.26,42.42,98595,18
Sophia Schubert,United States,North America,258.4,79.58,70.4,30.74,40.7,771054,23
Stacy Lewis,United States,North America,241.67,84.82,68.9,29.86,32.95,399412,25
Stephanie Kyriacou,Australia,Oceania,258.11,72.94,69.4,29.76,46.48,483135,21
Stephanie Meadow,Northern Ireland,Europe,263.01,71.55,67.2,29.86,46.74,373874,25
Su Oh,Australia,Oceania,246.94,75.6,63.5,29.62,45.78,107938,24
Sung Hyun Park,Republic of Korea,Asia,263.53,66.54,67.9,30.35,32.26,199659,18
Tiffany Chan,Hong Kong,Asia,254.69,74.11,63.3,29.9,37.84,105772,13
Vivian Hou,Chinese Taipei,Asia,238.54,83.6,65,31.39,28,7382,12
Wei-Ling Hsu,Chinese Taipei,Asia,253.23,78.67,71.8,30.27,50,282242,23
Wichanee Meechai,Thailand,Asia,252.58,70.72,67.6,29.99,51.65,303651,28
Xiyu Lin,China,Asia,262.25,77.58,76,29.69,38.03,1294555,24
Yaeeun Hong,Republic of Korea,Asia,238.31,73.92,58.5,28.46,44.74,68593,22
Yealimi Noh,United States,North America,264.69,66.51,70.8,30.63,40.28,226398,28
Yu Liu,China,Asia,267.2,67.26,68.6,29.92,55.67,190305,25
Yuka Saso,Japan,Asia,275.61,67.8,68.6,29.28,39.2,773294,26
Yu-Sang Hou,Chinese Taipei,Asia,253.64,81.44,62.7,30.43,31.71,13142,12
